name,home
Hermione,Gryffindor
Harry,Gryffindor
Ron,Gryffindor
Draco,Slytherin
Harry,"Number four, privet drive"
Ron,The burrow
Draco,Malfoy Manor
Harry,"Number four, privwr driveC:\Users\HP\AppData\Local\Programs\Python\Python313\python.exe c:/Users/HP/OneDrive/Documents/Vscode/lecture_6.py"
Harry,"Number four, privet drive"
Harry,"number four, privet drive"
harry,"number,C:\Users\HP\AppData\Local\Programs\Python\Python313\python.exe c:/Users/HP/OneDrive/Documents/Vscode/lecture_6.py four privet drive"
